用户ID        经验值         乐币
----------- ----------- -----------
1335173     4918        1508
1341616     25890       1305
4411571     11773       1268
1309908     65096       1119
1250064     105469      1068
5049312     360         1045
1338797     78613       999
1270756     31054       889
1257926     55920       827
1334053     71814       796
1249175     46274       791
22          18          785
1342555     106197      739
1303610     28256       736
4481334     69951       708
4470891     73254       678
5049721     823         661
1270266     39771       658
4488980     262455      628
4470894     184147      621
5049724     373         601
1327005     48830       571
4481063     4131        545
4904891     80712       544
3068007     7263        530
4465617     731         528
1338622     36682       517
5040571     663         502
1318520     86990       500
4551132     114         497
5110266     617         490
3072390     258         486
2017691     3375        478
1344866     55506       458
5049069     115         450
4489062     103389      450
1272233     7559        447
5049166     3207        438
4481350     11          434
5101626     2187        423
4530429     2221        416
3009620     189968      414
3020864     308         413
4481356     209         413
5048639     133         410
5049078     215         410
5291176     1303        408
5131000     1901        400
5290701     1030        396
4481341     334         391
4465400     4493        391
4481181     17          385
4897914     48058       382
4480873     10028       376
5050071     168         360
5156451     200         360
5250473     1149        351
3005809     326         350
4879906     23065       349
3019027     223         338
5240805     628         338
4422226     251         331
1327851     32479       327
5231532     818         327
5110380     2685        326
5251544     475         323
5297404     881         322
4414723     148805      322
4482114     3507        321
5101654     1688        315
4871804     17136       313
4482113     14          313
5156271     1004        313
4481999     9           312
5252242     1568        312
3075630     3086        311
5054462     391         310
5050460     164         310
5049077     113         310
3086278     107         310
5043413     134         310
5007829     508         310
4482111     53844       308
5200438     4125        308
5278312     1505        307
4481340     324         307
4482118     15          307
3003539     12741       306
1323525     1256        305
1334847     31449       304
5284048     1702        304
1336589     33374       303
4482117     36167       303
5208942     992         303
4481283     37          302
1243417     14120       301
3043515     133         300
5233591     61          300
5137452     1160        300
5048357     90          300
18          47          300
5249703     924         299
1272691     9659        299
5110362     233         297
5278315     1783        297
5183184     4044        295
5127937     10928       294
5249069     401         292
5249303     210         292
5205237     179         291
5208946     129         291
4481299     32          291
4481342     354         291
5208944     159         291
4480643     44          290
4481969     9           290
4481296     33          289
5133188     3688        289
5255748     695         289
5207150     857         288
5101630     420         288
5130340     4903        288
1241827     12589       288
1284025     52286       287
5295809     820         286
3063507     135         286
5101597     329         285
3016777     160         285
5248821     210         282
4481332     119         282
4481294     834         280
5278306     2150        280
4481998     9           278
5133401     5409        277
4481997     9           276
5101636     283         273
5278302     2814        271
4481971     9           270
1249585     17748       269
4482080     72406       268
4896711     31813       268
4481380     37          268
4482112     616         266
5127600     3883        265
98          1           263
5278304     1317        263
5110261     642         261
5207195     664         260
4481327     380         260
4482109     1136        259
4480544     18558       255
5300389     997         255
5001998     11300       252
4481347     9           251
5132773     665         250
3040252     272         249
5126688     375         247
5249706     1050        246
4471400     28188       246
5300391     882         246
4414652     134         246
4482016     8           243
4481732     2087        243
5287145     2007        243
4482014     9           242
4498902     343         242
4482015     8           241
4481031     9           241
5294000     670         240
5297729     785         239
5298474     664         239
5287140     259         238
1270543     12021       236
5018471     6540        236
4472579     105997      236
3020097     12657       234
5287139     1318        234
5101601     5079        231
5300387     834         229
4481316     117         227
4472431     84613       227
5287144     987         226
4481354     381         225
1346167     36591       223
4439797     123         222
4469455     840         221
4480389     84898       219
4482017     8           219
4481337     16          219
4480557     4883        218
4913353     43089       215
4481032     11          213
5287138     980         212
3021319     13172       210
1331779     20709       209
4481034     9           207
4480864     9           207
3017408     488         207
3014039     145         205
4480866     9           202
4481323     11          201
4481043     8           201
4480861     9           201
1292261     9851        200
4481035     8           198
4481038     8           197
5287143     480         197
1291370     10061       196
4481036     8           195
4480867     9           194
4480863     8           194
3018926     305         194
4903666     6078        193
4480865     9           193
4481037     9           193
3000350     247         192
4480868     314         192
4903664     10050       192
4481042     9           191
2018093     5956        191
4482193     360         190
1245584     14412       190
5287133     767         189
4480558     61417       189
4480862     8           188
1270224     19766       188
4481857     51700       187
4480694     60308       187
4481370     82605       187
1332174     13905       187
3020105     86015       186
4481783     21955       185
4480948     12092       185
4413228     138         184
4548497     5429        183
4487872     110         183
4497029     1051        183
1334010     50406       183
4493198     46          181
3000627     812         181
2013471     34          179
3017654     499         179
4480359     14022       178
4601834     4599        176
1300172     15036       176
4472441     9800        175
4481583     756         175
3018698     129         175
1300945     32368       174
4493263     11          174
3018925     318         174
4493282     13          173
4485614     2560        173
4488332     8           172
4481970     877         172
3018927     682         172
4482042     2769        171
4481647     7           170
4493195     26          170
3042850     144         170
5249705     1830        170
1292633     22209       169
4493196     14          169
4493250     25          168
4455938     105         168
3018931     874         168
5287134     998         168
1237794     7388        167
4481301     209         166
3039002     100         165
4480348     82466       165
104012      8026        165
3018695     124         165
4419389     156         164
4493203     36          164
4481717     12476       164
4472740     17921       163
4481607     11          162
5294015     132         162
5249704     2834        162
3019408     225         160
3003040     107         160
4493234     13          160
4577299     23260       159
4480869     81          159
4903672     11565       159
1328945     8279        159
1242522     12898       158
5047481     236         158
4481716     22234       158
4502052     10101       157
1285229     256         157
4487358     5610        157
10          36          157
4481714     20409       156
4480379     10448       156
1284844     186296      156
5287136     800         155
107710      8594        155
3024697     106         155
4481719     23          155
4481715     16566       154
3006343     238         153
1256288     7558        153
3041271     296         153
1332002     23717       152
4481721     3957        152
5047470     336         151
4481720     8745        151
4488171     361         151
2000781     22857       151
5132791     2349        150
3002764     100         150
3003097     107         150
3018700     115         150
5132779     1218        150
5048567     179         150
5132804     1570        150
1339040     7370        150
4487372     4045        150
5130841     2322        150
4481585     64          150
5322693     0           148
4482900     9062        148
4481853     15534       148
5094021     105         148
3020092     28023       147
4487376     5227        147
4493274     7           147
4490214     557         146
4472581     51796       146
2018291     192050      146
4487362     304         145
1269888     15813       145
4480362     4464        144
4423373     112         144
4876678     282         144
4487353     194         144
1264414     9867        143
27          0           143
4487379     64          143
4487386     66          143
4481804     45659       142
1303483     1140        142
1269683     8083        142
4481382     10          141
4422449     122         140
8672        129         139
1296263     7382        137
4481652     7           135
4480782     37          133
3007635     905         133
1279239     11270       132
4493540     44          132
4487347     95044       132
4480344     8742        131
4908791     4464        131
8888        7209        131
5249702     1307        131
1292597     19006       131
4480780     17          130
4480781     17          130
3066403     177         129
4480779     17          129
4480772     20          129
4563360     720         128
4480777     17          128
4480771     22          128
4480374     9461        128
4480778     17          127
4480776     18          127
9           625         126
4480366     9417        126
4480940     16025       126
1337291     48261       126
4481656     37          125
4480376     408         125
3020660     261         125
1272137     13554       125
1256414     4234        124
104009      8987        124
4489532     6           124
4481653     7           124
4480944     7092        124
4480949     122880      123
1328880     11582       123
4480942     15579       122
4480367     468         121
4480364     11222       121
1251992     5798        121
2012158     7760        121
2019167     2774        121
4528179     2558        120
4416857     187         120
4480378     122         119
5327402     1594        119
4493191     164         117
4903667     7984        116
4482018     7           116
4883636     6095        116
5297192     1342        115
1276393     8591        113
4489536     7           113
4481918     9019        113
4481413     30747       112
1270154     4775        112
5049631     169         110
4539329     146         110
5054308     173         110
5049211     195         110
4481920     13433       110
4490233     55578       110
4559128     215         110
4883667     188         109
49          8           109
4883663     272         109
4883647     5250        109
4883672     558         109
4582261     1049        109
4564159     116         109
4563809     82442       109
4738730     106         109
4582273     309         109
5060688     703         109
2018341     1938        109
4472591     17          108
1257306     3233        108
4492274     8           107
4487115     7           107
4482632     31724       107
4481388     41421       107
2018361     2065        106
4489434     22          106
4496719     2496        106
4488127     10397       106
3072406     122         106
3026821     384         105
4490286     3425        105
4489442     23          105
4489431     73          105
4482116     286         105
4489443     666         105
4493840     357         105
3027110     35333       105
4472214     2716        105
2014473     0           105
3074940     126         104
1264097     25815       104
4489441     22          104
4488786     6           104
4472623     11          104
4489812     20          104
4486612     2608        104
4489444     22          104
4529371     2589        104
3068460     149         104
4472599     32          104
4487120     6           104
4487122     6           104
4490100     6           103
4489985     7           103
4909518     704         103
4489540     96          103
4472606     13          103
4482174     8           103
4487118     268         103
3002279     5259        102
3072279     143         102
4489874     6           102
4486988     1358        102
4489439     26          102
4883649     2167        102
4494933     4           102
4472605     13          102
4489437     22          102
4489042     34726       102
4489924     6           101
4489551     6           101
4489538     6           101
4472601     12          101
4490238     1288        101
4488176     116         101
4494948     1254        101
4481581     7           101
4487125     6           101
4493441     3708        101
4489558     6           101
4489960     6           101
4481277     2761        101
4623097     64          101
3068450     6           100
4493420     5           100
5014316     326         100
5048861     26          100
5043538     116         100
5049549     52          100
4582253     140         100
4623091     46          100
5084876     2413        100
5131603     1547        100
4487105     9           100
4472624     26          100
4490022     7           100
4493446     170         100
4489543     6           100
3007536     238         100
4472600     11          100
4472592     14          100
4490068     6           100
4903155     370         100
4870315     1011        100
4883664     88          99
4509783     1863        99
4514127     3           99
4513936     3           99
4500228     2479        99
4883670     88          99
4499884     2438        99
4883653     95          99
4484393     1516        99
4903663     6041        99
4481359     14          99
4514090     3           99
4623103     46          99
4564144     19          99
4514011     4           99
4514062     4           99
4510437     2183        99
4489553     7           99
4490085     6           99
4589472     246         99
4513884     3           99
4493419     5           99
4509700     45503       99
4514043     4           99
4513965     4           99
4513827     3           99
4489429     23          99
5255134     142         99
2000042     5250        99
4529337     2526        99
4519542     2511        99
4564147     19          99
4623093     46          99
4564156     19          99
4623099     46          99
4623083     46          99
4623088     47          99
4522469     2408        99
4564162     12          99
4623094     46          99
4623085     46          99
4494955     3           98
4494963     3           98
5241945     1158        97
4480946     15445       97
2120957     6544        97
4899493     5849        97
5000524     18790       97
1335628     33214       97
4529351     2797        97
2117737     696         96
1236487     3538        96
4903653     4741        96
4903662     6097        96
4489557     7           96
104006      8955        96
4504915     1432        96
1336430     7131        95
4534742     330         95
4903647     243         95
4486654     4           95
2013326     13534       95
3740436     118         94
4903661     6218        94
4909739     354         94
4472593     2666        94
4569001     151         94
4481444     25396       93
4909744     338         93
4909742     305         93
1284632     233         93
4909750     308         93
4903671     247         93
4909732     310         93
4903650     249         93
4909728     305         92
3040705     2037        92
4903655     244         92
4472622     10405       91
4481440     149         91
4482076     648         91
4903636     325         90
4450688     130         90
4903642     287         90
4909713     4665        90
4560535     575         90
4378702     901         90
4482120     60          90
3072479     173         90
5409707     903         90
3094059     10790       90
1248231     4476        90
4561421     9079        89
1274473     7052        89
4909738     342         87
4903646     301         87
4909726     414         87
28          0           87
4903639     983         87
4903641     292         87
1290396     235         87
3019414     394         87
1238196     13496       87
5240877     972         86
1292517     2214        86
4589854     2277        85
